证券代码,证券简称,营收区域结构
002229.SZ,鸿博股份,华北地区:47.21%;华东地区:22.65%;西南地区:19.36%;华南地区:4.82%;西北地区:3.82%;华中地区:1.41%;东北地区:0.68%;其他(含出口):0.05%
002230.SZ,科大讯飞,华东:53.59%;华南:12.91%;华北:11.45%;西南:9.38%;华中:5.34%;西北:4.16%;东北:2.03%;国外:0.82%;其他业务(地区):0.31%
002231.SZ,奥维通信,中南:60.58%;东北:17.94%;华东:11.24%;西南:6.74%;西北:3.09%;其他业务(地区):0.42%
002232.SZ,启明信息,中国大陆:99.2%;国外:0.63%;其他业务(地区):0.17%
002233.SZ,塔牌集团,华南:89.23%;华东:9.99%;其他业务(地区):0.77%
002234.SZ,民和股份,山东:82.96%;山东省外:17.04%
002235.SZ,安妮股份,华北区:54.77%;华南区:24.84%;华东:12.36%;西南区:4.26%;其他业务(地区):2.78%;国外:0.99%
002236.SZ,大华股份,国内地区:63%;国外地区:37%
002237.SZ,恒邦股份,国内业务:78.88%;国外业务:14.72%;其他业务(地区):6.4%
002238.SZ,天威视讯,华南:100%
002239.SZ,奥特佳,国内:78.41%;国外:21.59%
002240.SZ,盛新锂能,华南:35.05%;华东:32.68%;华中:10.42%;华北:9.93%;西南:6.5%;东北:4.32%;西北:1.09%
002241.SZ,歌尔股份,外销:78.23%;内销:18.38%;其他业务(地区):3.39%
002242.SZ,九阳股份,国内:93.84%;国际:5.55%;其他业务(地区):0.61%
002243.SZ,通产丽星,国内:78.57%;港澳台及海外:21.43%
002244.SZ,滨江集团,杭州:59.34%;上海地区:19.31%;金华地区:12.91%;嘉兴地区:7.85%;境外:0.39%;绍兴:0.15%;衢州:0.06%
002245.SZ,蔚蓝锂芯,江苏:47.75%;广东:24.42%;其他地区:18.6%;江西:5.67%;浙江:2.47%;其他业务(地区):1.09%
002246.SZ,北化股份,华北片区:43.29%;华东片区:23.39%;国外:11.65%;华南片区:9.24%;西南片区:8.78%;西北片区:3.64%
002247.SZ,*ST聚力,国内:93.99%;国外:5.65%;其他业务(地区):0.36%
002248.SZ,华东数控,华东地区:49.12%;中南地区:19.84%;国外:16.42%;华北地区:8.33%;东北地区:4.84%;西南地区:1.2%;西北地区:0.26%
002249.SZ,大洋电机,国内:60.07%;外销:39.93%
002250.SZ,联化科技,工业-国外:61.11%;工业-国内市场:35.64%;贸易-国外市场:1.92%;其他业务(地区):0.84%;贸易-国内市场:0.5%
002251.SZ,步步高,湖南地区:62.39%;外省:25.33%;其他业务(地区):12.28%
002252.SZ,上海莱士,国内:97.61%;华东地区:36.69%;华南地区:25.38%;华北地区:21.87%;西南地区:8.36%;东北地区:3.58%;出口:2.38%;西北地区:1.74%;其他业务(地区):0.01%
002253.SZ,川大智胜,西南:42.31%;华北:20.58%;其他业务(地区):12.72%;华南:12.56%;华东:7.42%;西北:2.13%;华中:2.08%;东北:0.2%
002254.SZ,泰和新材,国内:84.01%;国外:15.04%;其他业务(地区):0.96%
002255.SZ,*ST海陆,国内:98.29%;国外:1.71%
002256.SZ,*ST兆新,国内:76.33%;国外:23.67%
002258.SZ,利尔化学,国内:64.42%;国外:35.4%;其他业务(地区):0.18%
002259.SZ,*ST升达,国内销售:99.44%;其他业务(地区):0.56%
002260.SZ,*ST德奥,国内市场:40.73%;美国:25.15%;其他国外市场:23.88%;日本:10.24%
002261.SZ,拓维信息,中南:48.88%;华北:16.26%;西南:11.54%;华东:8.67%;港澳台及国外:8.24%;西北:4.05%;东北:2.03%;其他业务(地区):0.33%
002262.SZ,恩华药业,国内销售:99.15%;国外销售:0.45%;其他业务(地区):0.4%
002263.SZ,大东南,内销:96.18%;外销:3.82%
002264.SZ,新华都,闽南地区:41.84%;闽东地区:19.52%;电商业务(地区):18.24%;闽西、北地区:10.33%;其他业务(地区):6.68%;省外地区:3.39%
002265.SZ,西仪股份,华东地区:40.27%;华北地区:23.79%;西南地区:13.87%;中南地区:13.13%;东北地区:5.32%;境外:2.69%;西北地区:0.93%
002266.SZ,浙富控股,内销:97.35%;外销:2.65%
002267.SZ,陕天然气,陕西省:100%
002268.SZ,卫士通,西南:36.87%;华北:29.99%;华东:10.7%;华南:8.08%;西北:8.07%;华中:4.41%;东北:1.88%
002269.SZ,美邦服饰,东区:60.87%;北区:14.81%;西区:12.45%;南区:11.88%
002270.SZ,华明装备,国内:90.75%;国外:9.25%
002271.SZ,东方雨虹,中国境内:98.55%;港澳台及海外:1.45%
002272.SZ,川润股份,东部:46.8%;西部:20.36%;南部:16.03%;北部:12.23%;国外:4.58%
002273.SZ,水晶光电,国内:50.31%;国外:49.19%;其他业务(地区):0.5%
002274.SZ,华昌化工,内销:95.31%;外销:4.69%
002275.SZ,桂林三金,内销:99.01%;出口:0.99%
002276.SZ,万马股份,华东地区:44.07%;华中地区:16.11%;其他地区:15.53%;华北地区:12.59%;华南地区:10.52%;其他业务(地区):1.18%
002277.SZ,友阿股份,长沙市:62.95%;长沙市以外其他地区:31.64%;其他业务(地区):5.41%
002278.SZ,神开股份,境内:76.77%;境外:21.23%;其他业务(地区):2%
002279.SZ,久其软件,NaN
002280.SZ,*ST联络,海外:85.49%;中国大陆:14.51%
002281.SZ,光迅科技,国内:68.26%;国外:31.74%
002282.SZ,博深股份,内销:68.22%;出口:31.78%
002283.SZ,天润工业,国内:84.42%;国外:10.51%;其他业务(地区):5.07%
002284.SZ,亚太股份,内销:92.04%;其他业务(地区):6.19%;外销:1.77%
002285.SZ,世联行,华南区域:40.8%;华东区域:19.65%;华北区域:15.08%;华中及西南区域:13.01%;山东区域:10.83%;其他业务(地区):0.62%
002286.SZ,保龄宝,境内:67.58%;境外:31.84%;其他业务(地区):0.58%
002287.SZ,奇正藏药,国内:99.84%;出口:0.16%
002288.SZ,超华科技,华南:56.62%;华东:15.41%;香港:13.11%;华中:7.76%;西南:4.68%;国外:1.65%;西北:0.63%;东北:0.1%;华北:0.02%
002289.SZ,ST宇顺,国内:59.29%;国外:35.59%;其他业务(地区):5.11%
002290.SZ,ST禾盛,国内:83.68%;国外:14.31%;其他业务(地区):2%
002291.SZ,星期六,互联网广告(地区):40.83%;华东:23.07%;网销:8.73%;华北:6.21%;华南:5.22%;东北:4.54%;西北:4.38%;华中:3.94%;西南:2.84%;出口:0.13%;其他(地区):0.12%
002292.SZ,奥飞娱乐,中国内地:54.25%;港澳台及海外:45.75%
002293.SZ,罗莱生活,华东:44.86%;港澳台及海外:18.51%;华中:11.43%;华北:8.66%;西南:6.83%;东北:4.25%;华南:3.97%;西北:1.5%
002294.SZ,信立泰,华东:34.05%;华北:24.05%;其他地区:21.52%;华南:20.38%
002295.SZ,精艺股份,华南:81.64%;华东:14.91%;华中:2.41%;其他:0.69%;华北:0.35%
002296.SZ,辉煌科技,南方:50.88%;北方:23.48%;其他业务(地区):14.3%;华东:11.34%
002297.SZ,博云新材,境内:85.51%;境外:11.41%;其他业务(地区):3.08%
002298.SZ,中电兴发,华东:37.94%;华中:30.53%;华北:21.3%;西北:3.78%;西南:3.51%;华南:2.63%;东北:0.3%
002299.SZ,圣农发展,华东地区:53.08%;福建:13.53%;广东:10.17%;其他业务(地区):7.43%;华中:6.14%;境外:4.03%;西南地区:3.69%;其他:1.93%
002300.SZ,太阳电缆,华东:49.82%;华南:34.62%;华北:10.11%;中西部:5.28%;东北:0.17%
002301.SZ,齐心集团,国内:94.08%;欧美:3.19%;亚洲(不包括中国):2.5%;其他:0.22%
002302.SZ,西部建设,四川地区:17.51%;湖北地区:13.09%;湖南地区:8.95%;新疆地区:8.74%;云南地区:6.49%;陕西地区:5.99%;福建:4.61%;重庆地区:4.4%;贵州地区:4.14%;江苏:3.92%;山东地区:3.57%;广西地区:2.97%;河南地区:2.64%;江西地区:2.39%;安徽地区:1.98%;广东地区:1.63%;天津地区:1.6%;甘肃地区:1.3%;海南地区:1.07%;印度尼西亚:0.91%;山西地区:0.85%;青海地区:0.44%;辽宁地区:0.32%;马来西亚:0.25%;内蒙古:0.22%;河北地区:0.01%
002303.SZ,美盈森,国内:69.35%;出口:27.56%;其他业务(地区):3.09%
002304.SZ,洋河股份,省外:51.29%;江苏:44.54%;其他业务(地区):4.17%
002305.SZ,南国置业,武汉:94.85%;四川成都:3.45%;荆州:1.33%;湖北襄阳:0.38%
002306.SZ,ST云网,北京地区:84.05%;其他地区:15.95%
002307.SZ,北新路桥,国内项目:93.59%;国外项目:6.41%
002308.SZ,威创股份,国内:99.22%;海外:0.78%
002309.SZ,中利集团,华东地区:38.62%;国外:24.94%;华南地区:14.69%;西北地区:7.98%;华北地区:7.05%;华中地区:2.61%;东北地区:2.41%;西南地区:1.69%
002310.SZ,东方园林,华东:41.86%;华南及华中地区:27.21%;华北及东北地区:16.56%;西北及西南地区:14.38%
002311.SZ,海大集团,华南片区:54.7%;华北地区:34.83%;华中地区:21.16%;华东地区:13.23%;境外:9%;合并抵销:-32.93%
002312.SZ,三泰控股,国内地区:95.45%;国外:4.08%;其他业务(地区):0.47%
002313.SZ,日海智能,国内:85.94%;海外地区:14.06%
002314.SZ,南山控股,华东地区:67.15%;华中地区:14.85%;华南地区:9.36%;华北地区:3.62%;境外:2.37%;西南地区:2.3%;西北地区:0.35%
002315.SZ,焦点科技,华东:41.89%;华南:32.43%;其他:12.82%;港澳台及海外:9.71%;其他业务(地区):3.15%
002316.SZ,亚联发展,华东:34.41%;华中:14.71%;华北:14.55%;华南:13.64%;西南:8.93%;东北:7.65%;西北:5.93%;其他业务(地区):0.18%
002317.SZ,众生药业,广东省外:57.02%;广东省内:42.61%;其他业务(地区):0.37%
002318.SZ,久立特材,境内:77.88%;境外:22.12%
002319.SZ,*ST乐通,其他地区:40.92%;长三角地区:28.12%;环渤海地区:14.96%;珠三角地区:14.42%;其他业务(地区):1.42%;出口销售:0.16%
002320.SZ,海峡股份,海南省:100%
002321.SZ,华英农业,国内:82.01%;出口:17.99%
002322.SZ,理工环科,国内:99.72%;其他业务(地区):0.28%
002323.SZ,*ST雅博,国内:76.61%;国外:23.39%
002324.SZ,普利特,国内:87.14%;国外:12.86%
002325.SZ,洪涛股份,华南:33.1%;华东:27.98%;华北:10.23%;西南:9.53%;境外:9.22%;西北:4.16%;东北:3.95%;华中:1.83%
002326.SZ,永太科技,国外:62.12%;国内:37.06%;其他业务(地区):0.82%
002327.SZ,富安娜,华南:36.42%;华东:21.64%;西南:13.72%;华中:9.75%;华北:7.66%;东北:6.38%;西北:4.42%
002328.SZ,新朋股份,内销:91.7%;外销:8.3%
002329.SZ,皇氏集团,西南地区:70.93%;其他地区:29.07%
002330.SZ,得利斯,山东省内:50.26%;华北:23.56%;东北:14.59%;华东其他:6.36%;西北:5.23%
002331.SZ,皖通科技,省外:56.96%;省内:43.04%
002332.SZ,仙琚制药,国内:72.67%;国外销售:27%;其他业务(地区):0.33%
002333.SZ,ST罗普,国内:100%
002334.SZ,英威腾,中国大陆:72.22%;海外市场:27.78%
002335.SZ,科华恒盛,国内:91.45%;国外:6.18%;其他业务(地区):2.37%
002336.SZ,ST人乐,西北:35.09%;华南:33.83%;西南:10.46%;其他业务(地区):10.42%;华北:10.19%
002337.SZ,赛象科技,国内:55.51%;出口:43.72%;其他业务(地区):0.77%
002338.SZ,奥普光电,国内:100%
002339.SZ,积成电子,北方地区:51.2%;华中地区:20.73%;华东地区:18.98%;南方地区:9.08%
002340.SZ,格林美,国内:79.29%;国外:20.71%
002341.SZ,新纶科技,国内销售:90.1%;国外销售:9.9%
002342.SZ,巨力索具,内销:80.37%;出口:14.3%;其他业务(地区):5.33%
002343.SZ,慈文传媒,国内:98.37%;国外:1.63%
002344.SZ,海宁皮城,内销:98.39%;外销:0.95%;其他业务(地区):0.66%
002345.SZ,潮宏基,华东:50.17%;网络销售:17.73%;东北:7.62%;华中:6.53%;华南:6.23%;华北:5.91%;西北:3.08%;西南:2.24%;港澳台及海外:0.48%
002346.SZ,柘中股份,长三角以外地区:46.46%;上海地区:45.62%;长三角地区:7.91%
002347.SZ,泰尔股份,境内:93.28%;境外:5.97%;其他业务(地区):0.75%
002348.SZ,高乐股份,国内:53.68%;港澳台及海外:46.32%
002349.SZ,精华制药,国内:87.24%;出口:12.76%
002350.SZ,北京科锐,国内:99.53%;其他业务(地区):0.4%;国外:0.07%
002351.SZ,漫步者,国内:76.75%;出口:22.57%;其他业务(地区):0.68%
002352.SZ,顺丰控股,速运物流-华东:29.41%;速运物流-华南:23.64%;速运物流-华北:21.74%;速运物流-中南:13.02%;速运物流-华西:7.91%;港澳台及海外:3.13%;商品及其他(地区):1.15%
002353.SZ,杰瑞股份,国内:71.04%;国外:28.96%
002354.SZ,*ST天娱,国内:72.34%;国外:27.66%
002355.SZ,兴民智通,国内:72.49%;其他业务(地区):14.96%;国外:12.55%
002356.SZ,*ST赫美,南方:70.82%;北方:29.18%
002357.SZ,富临运业,成都:59.4%;遂宁:18.75%;绵阳:13%;眉山:8.85%
002358.SZ,森源电气,华中:50.65%;华东:20.8%;华北:11.89%;西北:6.5%;西南:4.92%;华南:4.22%;东北:0.66%;港澳台及海外:0.36%
002359.SZ,*ST北讯,铁塔板块内销:144.5%;通信板块华北:11.37%;其他业务(地区):11.19%;铁塔板块外销:2.36%;通信板块华东:1.95%;通信板块华南:-71.37%
002360.SZ,同德化工,山西(民爆行业):82.04%;省外(民爆行业):11.75%;国内(白炭黑产品):4.59%;出口(白炭黑产品):1.14%;其他业务(地区):0.48%
002361.SZ,神剑股份,国内:84.71%;国外:14.2%;其他业务(地区):1.09%
002362.SZ,汉王科技,海外:31.91%;华北:30.28%;华南:15.24%;华东:8.27%;其他业务(地区):7.51%;华中:3.35%;西北:1.27%;东北:1.23%;西南:0.94%
002363.SZ,隆基机械,外销:60.04%;内销:39.79%;其他业务(地区):0.17%
002364.SZ,中恒电气,内销:98.4%;外销:1.6%
002365.SZ,永安药业,国内:68.21%;国外:31.79%
002366.SZ,台海核电,国内:99.16%;国外:0.84%
002367.SZ,康力电梯,华东地区:37.81%;中南地区:24.96%;西南地区:14.55%;华北地区:7.31%;西北地区:6.71%;海外地区:5.4%;东北地区:2.22%;其他业务(地区):1.03%
002368.SZ,太极股份,北京地区:51.87%;其他地区:15.13%;华东地区:13.44%;华北地区(不含北京):7.6%;西北地区:7.29%;华南地区:4.67%
002369.SZ,卓翼科技,国内:83.51%;出口:14.71%;其他业务(地区):1.77%
002370.SZ,亚太药业,境内:100%
002371.SZ,北方华创,中部及东南部:51.73%;西北及西南:24.41%;东北及华北:18.58%;其他地区:4.8%;其他业务(地区):0.48%
002372.SZ,伟星新材,华东:44.64%;华北:24.98%;西部:12.9%;东北:5.88%;华中:5.56%;华南:3.38%;国外:2.66%
002373.SZ,千方科技,境内:85.35%;境外:14.65%
002374.SZ,丽鹏股份,国内:89.07%;出口:10.93%
002375.SZ,亚厦股份,华东:54.16%;中南:20.14%;西北:9.14%;西南:7.55%;华北:6.47%;东北:2.55%
002376.SZ,新北洋,国内:76.99%;国外:23.01%
002377.SZ,国创高新,华南区:70.99%;华中区:22.06%;西南区:6.55%;其他业务(地区):0.41%
002378.SZ,章源钨业,国内:74.92%;国外:25.08%
002379.SZ,宏创控股,国内:71.81%;国外:28.19%
002380.SZ,科远智慧,华东:53.83%;华北:10.6%;华南:9.7%;中南:9.5%;东北:8.9%;其他:7.47%
002381.SZ,双箭股份,国内销售:79.11%;国外销售:20.89%
002382.SZ,蓝帆医疗,境外:68.46%;国内:31.54%
002383.SZ,合众思壮,海外市场:30.16%;华东地区:18.17%;华南地区:14.34%;其他业务(地区):13.9%;西北地区:10.01%;华北地区:6.27%;西南地区:6.23%;东北地区:0.92%
002384.SZ,东山精密,国际:68.11%;国内:31.89%
002385.SZ,大北农,中南区:30.21%;华东区:26.65%;西南区:13.06%;华北区:11.24%;东北区:10.29%;西北区:8.55%
002386.SZ,天原集团,华东地区:52.73%;西南地区:23.8%;华南地区:15.96%;华北地区:2.26%;华中地区:1.62%;西北地区:1.49%;东北地区:1.07%;国外:1.07%
002387.SZ,维信诺,国内:51.81%;国外:48.19%
002388.SZ,新亚制程,华南:63.35%;华中:13.45%;境外:12.57%;华东:7.46%;境内其他:1.73%;华北:1.32%;东北:0.12%
002389.SZ,航天彩虹,国内销售:70.94%;国外销售:29.06%
002390.SZ,信邦制药,西南:89.55%;华东:4.27%;出口:2.52%;华北:1.7%;华中:0.76%;华南:0.58%;东北:0.43%;西北:0.2%
002391.SZ,长青股份,港澳台及海外:58.31%;华东地区:30.23%;中南地区:4.59%;东北地区:3.83%;西北地区:1%;华北地区:0.88%;其他业务(地区):0.71%;西南地区:0.45%
002392.SZ,北京利尔,国内:92.62%;国外:7.38%
002393.SZ,力生制药,华北地区:47%;华东地区:22.3%;中南地区:12.34%;其他:7.27%;西南地区:5.48%;西北地区:3.67%;东北地区:1.94%
002394.SZ,联发股份,国内:50.96%;其他:18.04%;美国:17.22%;欧洲:12.7%;日本:1.08%
002395.SZ,双象股份,华东地区:62.66%;华南地区:21.7%;海外销售:8.8%;华中地区:5.29%;华北地区:0.73%;西南地区:0.58%;东北地区:0.17%;西北地区:0.05%
002396.SZ,星网锐捷,本国:86.81%;国外:13.19%
002397.SZ,梦洁股份,华中:48.61%;华东:19.32%;华南:11.48%;华北:7.67%;西南:5.51%;东北:3.46%;西北:2.07%;出口:1.88%
002398.SZ,垒知集团,华东:57.09%;西南:22.03%;中南:14.09%;西北:4.85%;国外:0.95%;华北:0.85%;华中地区:0.15%
002399.SZ,海普瑞,国外:91.09%;国内:8.91%
002400.SZ,省广集团,华南:49.01%;华北:17.46%;华东:13.09%;华中:8.95%;东北:7.18%;西南:3.95%;西北:0.35%
002401.SZ,中远海科,华东:36.89%;西南:27.24%;西北:15.84%;华北:12.82%;华南:3.5%;东北地区:2.14%;华中:1.07%;境外地区:0.48%
002402.SZ,和而泰,出口:66.56%;国内:33.44%
002403.SZ,爱仕达,内销:59.54%;外销:37.94%;其他业务(地区):2.51%
002404.SZ,嘉欣丝绸,国外:53.46%;国内:46.54%
002405.SZ,四维图新,全部地区:94.19%;其他业务(地区):5.81%
002406.SZ,远东传动,国内:87.61%;其他业务(地区):7.64%;国外:4.74%
002407.SZ,多氟多,国内:84.91%;国外:14.14%;其他业务(地区):0.94%
002408.SZ,齐翔腾达,国内:65.27%;国外:34%;其他业务(地区):0.73%
002409.SZ,雅克科技,国外:64.29%;国内:35.71%
002410.SZ,广联达,中国境内:93.96%;海外:3.88%;其他业务(地区):2.16%
002411.SZ,延安必康,华北地区:36.25%;华中地区:30.69%;华东地区:19.12%;西南地区:5.88%;西北地区:3.18%;华南地区:1.97%;其他地区:1.82%;东北地区:1.1%
002412.SZ,汉森制药,中南区:47.47%;华东区:18.67%;西南区:12.79%;华北区:11.4%;西北区:5.78%;东北区:3.88%
002413.SZ,雷科防务,国内:91.84%;出口:8.16%
002414.SZ,高德红外,国内:82.27%;国外:16.08%;其他业务(地区):1.65%
002415.SZ,海康威视,国内地区:71.84%;国外地区:28.16%
002416.SZ,爱施德,华南:57.98%;华北东北:16.41%;华东:13.38%;华西:12.23%
002417.SZ,深南股份,华南:83.59%;华北:7.75%;华中:5.65%;华东:2.89%;其他地区:0.12%
002418.SZ,*ST康盛,国内:88.49%;国外:11.51%
002419.SZ,天虹股份,华南区:58.98%;华中区:17.23%;东南区:7.75%;华东区:5.83%;其他业务(地区):3.58%;地产(地区):3.03%;北京:2.84%;成都:0.77%
002420.SZ,ST毅昌,国内销售:94.36%;海外销售:5.64%
002421.SZ,达实智能,华东地区:29.08%;华南地区:28%;西南地区:16.58%;华北地区:10.51%;华中地区:9.29%;东北地区:5.28%;西北地区:1.26%
002422.SZ,科伦药业,西南:27.96%;华东:18.72%;华中:16.53%;华北:16.43%;港澳台及海外:7.04%;东北:6.32%;西北:5.08%;其他业务(地区):1.93%
002423.SZ,中粮资本,其他业务(地区):100%
002424.SZ,贵州百灵,西南片区:31.14%;华北片区:18.12%;华东片区:16.37%;华南片区:10.64%;中南片区:9.24%;西北片区:8.97%;东北片区:5.51%
002425.SZ,凯撒文化,中国大陆:64.17%;国外:35.83%
002426.SZ,*ST胜利,国内:74.46%;国外:25.54%
002427.SZ,ST尤夫,内销:59.28%;外销:40.72%
002428.SZ,云南锗业,国内:69.93%;国外:30.07%
002429.SZ,兆驰股份,国内:66.97%;国外:33.03%
002430.SZ,杭氧股份,境内:96.19%;境外:3.81%
002431.SZ,棕榈股份,华东:37.69%;华南:22.55%;华北:17.26%;西南:10.46%;其他业务(地区):10.26%;华中:1.78%
002432.SZ,九安医疗,外贸销售:65.37%;国内:29.93%;其他业务(地区):4.69%
002433.SZ,太安堂,华南区域:32.56%;华东区域:25.37%;华北区域:11.15%;华中区域:10.56%;东北区域:6.87%;西南区域:6.8%;西北区域:4.67%;其他业务(地区):1.95%;境外地区:0.06%
002434.SZ,万里扬,国内销售:99.98%;国外销售:0.02%
002435.SZ,长江健康,华东地区:45.68%;华中地区:13.84%;华北地区:10.76%;西南地区:10.01%;华南地区:6.79%;西北地区:5.22%;东北地区:3.73%;出口:3.18%;国内其他地区:0.79%
002436.SZ,兴森科技,外销:53.5%;内销:45.07%;其他业务(地区):1.43%
002437.SZ,誉衡药业,国内:99.88%;国外:0.12%
002438.SZ,江苏神通,华东:39.81%;华北:23.05%;华南:9.66%;华中:7.39%;西北:6.08%;东北:5.56%;其他业务(地区):4.59%;西南:3.6%;国外:0.26%
002439.SZ,启明星辰,华北:39.87%;西南:13.15%;华东:12.28%;西北:11.35%;华南:10.55%;华中:9.92%;东北:2.88%
002440.SZ,闰土股份,国内:87.51%;国外:11.07%;其他业务(地区):1.42%
002441.SZ,众业达,华北:25.03%;华东:21%;华南:20.12%;中南:11.25%;西南:10.48%;东北:6.57%;西北:5.43%;其他业务(地区):0.13%
002442.SZ,龙星化工,国内:88.45%;国外:11.55%
002443.SZ,金洲管道,国内:99.98%;国外:0.02%
002444.SZ,巨星科技,国外:93.79%;国内:5.72%;其他业务(地区):0.48%
002445.SZ,*ST中南,内销:84.36%;外销:15.64%
002446.SZ,盛路通信,国内:94.82%;其他业务(地区):2.71%;国外销售:2.47%
002447.SZ,*ST晨鑫,境内:96.25%;境外:3.75%
002448.SZ,中原内配,国内:55.6%;国外:44.4%
002449.SZ,国星光电,国内:78.75%;国外:19.56%;其他业务(地区):1.69%
002450.SZ,*ST康得,国内:73.81%;国外:26.19%
002451.SZ,摩恩电气,华东:48.06%;华北:19.2%;租赁收入:18.42%;华中:5.28%;西南:3.97%;其他业务(地区):2.59%;东北:1.61%;西北:0.59%;其他:0.29%
002452.SZ,长高集团,华东地区:28.65%;华中地区:26.24%;西北:15.85%;西南地区:12.81%;华北地区:10.07%;华南地区:3.39%;东北:2.51%;国外:0.49%
002453.SZ,华软科技,国内:95.99%;国外:4.01%
002454.SZ,松芝股份,境内:94.57%;境外:5.43%
002455.SZ,百川股份,国内:69.48%;国外:30.52%
002456.SZ,欧菲光,国内:60.7%;国外:39.3%
002457.SZ,青龙管业,西北:69.46%;华北:19.63%;华中:9.53%;华东地区:1.22%;其他业务(地区):0.17%
002458.SZ,益生股份,山东:60.75%;其他:26.41%;东北:12.84%
002459.SZ,晶澳科技,国外:71.72%;国内:28.28%
002460.SZ,赣锋锂业,境内:65.64%;境外:34.36%
002461.SZ,珠江啤酒,华南地区:94.96%;其他地区:5.04%
002462.SZ,嘉事堂,其他地区:58.38%;北京地区:41.62%
002463.SZ,沪电股份,国内:52.09%;直接外销:44.49%;其他业务(地区):3.42%
002464.SZ,众应互联,国外:50.79%;国内:49.1%;其他业务(地区):0.1%
002465.SZ,海格通信,国内:100%
002466.SZ,天齐锂业,国内:73.26%;国外:26.74%
002467.SZ,二六三,中国大陆外:50.99%;中国大陆:49.01%
002468.SZ,申通快递,华东大区:47.18%;华南大区:28.51%;华中大区:9.12%;华北大区:8.08%;西南大区:3.7%;东北大区:2.6%;西北大区:0.77%;国外地区:0.03%
002469.SZ,三维工程,国内:98.97%;其他业务(地区):1.03%
002470.SZ,*ST金正,其他:39.75%;东部:24.61%;北部:19.29%;中部:16.35%
002471.SZ,中超控股,华东地区:63.46%;华北地区:8.82%;华中地区:8.41%;西北地区:7.71%;西南地区:6.92%;华南地区:2.79%;东北地区:1.55%;海外:0.35%
002472.SZ,双环传动,内销:85.44%;外销:14.56%
002473.SZ,ST圣莱,国内:70.54%;国外:29.23%;其他业务(地区):0.23%
002474.SZ,榕基软件,华南:43.18%;华东:29.06%;华中:12.39%;华北:11.65%;其他:3.72%
002475.SZ,立讯精密,境外:91.92%;境内:8.08%
002476.SZ,宝莫股份,国内:92.65%;国外:7.35%
002478.SZ,常宝股份,国内:67.12%;国外:26.29%;其他业务(地区):6.59%
002479.SZ,富春环保,浙江省:75.36%;江苏:18.24%;山东:5.89%;江西:0.51%
002480.SZ,新筑股份,西南片区:75.83%;东南片区:19.07%;西北片区:2.29%;东北片区:1.46%;海外片区:1.36%
002481.SZ,双塔食品,国内市场:68.49%;国外市场:31.51%
002482.SZ,广田集团,华南地区:39.22%;华东地区:19.68%;西南地区:15.42%;华中地区:12.42%;华北地区:6.79%;海外:2.55%;西北地区:2.43%;东北地区:1.4%;其他业务(地区):0.09%
002483.SZ,润邦股份,外销:63.21%;内销:36.79%
002484.SZ,江海股份,内销:70.75%;外销:28.32%;其他业务(地区):0.93%
002485.SZ,希努尔,境内销售:94.11%;境外销售:4.81%;其他业务(地区):1.08%
002486.SZ,嘉麟杰,外销:71.08%;内销:28.92%
002487.SZ,大金重工,中国大陆:53.83%;国外:46.17%
002488.SZ,金固股份,内销(钢制车轮及组装车轮):55.49%;外销(钢制车轮及组装车轮):29.04%;其他业务(地区):6.01%;内销(高端装备制造业务):5.19%;内销(汽车后市场互联网业务):3.39%;内销(分布式光伏发电):0.87%
002489.SZ,浙江永强,北美洲:48.08%;欧洲:42.61%;国内:7.12%;澳大利亚:1.11%;南美洲:0.98%;亚洲其他国家:0.09%
002490.SZ,山东墨龙,中国:80.39%;境外:14.3%;其他业务(地区):5.31%
002491.SZ,通鼎互联,国内销售:99.04%;国外:0.96%
002492.SZ,恒基达鑫,国内:91.43%;其他业务(地区):8.57%
002493.SZ,荣盛石化,国内地区:94.66%;国外地区:5.34%
002494.SZ,华斯股份,国内:49.32%;其他业务(地区):31.12%;出口:19.56%
002495.SZ,佳隆股份,华中地区:36.93%;华北地区:25.75%;东北地区:17.04%;华南地区:6.63%;华东:4.78%;西南地区:4.4%;其他业务(地区):3.04%;西北地区:1.43%
002496.SZ,*ST辉丰,国内:79.8%;国外:20.2%
002497.SZ,雅化集团,其他区域:39.18%;省内:33%;内蒙区域:10.12%;国外:9.48%;山西:8.22%
002498.SZ,汉缆股份,华东地区:40.74%;中南地区:25.39%;华北地区:21.74%;西北地区:3.94%;西南地区:2.98%;东北地区:2.49%;其他业务(地区):1.66%;境外:1.04%
002499.SZ,*ST科林,国内:100%
002500.SZ,山西证券,总部及子公司:91.25%;山西省:6.58%;上海市:0.51%;北京市:0.32%;广东省:0.19%;浙江省:0.18%;陕西省:0.16%;山东省:0.15%;河南省:0.14%;河北省:0.1%;福建省:0.08%;湖南省:0.08%;四川省:0.07%;重庆市:0.07%;天津市:0.06%;辽宁省:0.05%;江苏省:0.02%;云南省:0.02%;黑龙江省:0.01%;湖北省:0.01%;广西省:-0.03%
002501.SZ,*ST利源,东北地区:65.09%;出口:14.53%;华北地区:10.27%;华东:7.55%;华中地区:2.55%;服务业东北地区:0.01%
002502.SZ,*ST鼎龙,国内:100%
002503.SZ,搜于特,华东:57.05%;华南:29.14%;西南:4.25%;华北:4.22%;华中:3.19%;西北:1.09%;其他业务(地区):0.86%;东北:0.21%
