证券代码,证券简称,营收区域结构
000156.SZ,华数传媒,杭州地区:67.52%;杭州地区以外:32.48%
000157.SZ,中联重科,境内:91.76%;国外:8.24%
000158.SZ,常山北明,华北地区:67.11%;华东地区:15.53%;华南地区:14.97%;其他地区:2.38%
000159.SZ,国际实业,国内:95.78%;国外:4.12%;其他业务(地区):0.1%
000166.SZ,申万宏源,境内子公司:45.69%;公司本部:25.54%;华东地区:15.02%;西北地区:4.35%;中南地区:3.7%;境外子公司:2.07%;西南地区:2.06%;华北地区:1.4%;东北地区:1.24%;抵消(地区):-1.07%
000301.SZ,东方盛虹,国内:91.86%;国外:8.14%
000333.SZ,美的集团,国内:57.78%;国外:41.8%;其他业务(地区):0.42%
000338.SZ,潍柴动力,国内:59.16%;国外:40.84%
000400.SZ,许继电气,华中:36.44%;华东:26.56%;华北:11.75%;西南:7.89%;西北:6.55%;国外:4.66%;华南:3.12%;东北:3.03%
000401.SZ,冀东水泥,华北:69.43%;东北:7.91%;西北:7.33%;西南:6.99%;其他(湖南、山东、重庆):6.38%;华中(河南):1.96%
000402.SZ,金融街,北京:31.52%;广州地区:28.35%;上海地区:24.22%;重庆:8.88%;天津:4.27%;惠州:2.76%
000403.SZ,双林生物,中国大陆:99.16%;其他业务(地区):0.84%
000404.SZ,长虹华意,境内:63.21%;境外:36.27%;其他业务(地区):0.53%
000407.SZ,胜利股份,山东省内其他地区:66.37%;河北地区:16.36%;河南地区:5.97%;重庆地区:5.56%;浙江地区:2.68%;陕西地区:1.12%;江西地区:0.9%;广西地区:0.7%;辽宁地区:0.34%
000408.SZ,*ST藏格,国内:95.83%;其他业务(地区):4.17%
000409.SZ,ST地矿,山东:86.97%;浙江:13.03%
000410.SZ,*ST沈机,东北:48.06%;华东:18.6%;华北:10.14%;东南:7.04%;华南:6.16%;出口:3.25%;西南:2.69%;华中:2.15%;西北:0.96%;中南:0.96%
000411.SZ,英特集团,国内:100%
000413.SZ,东旭光电,国内:93.44%;港澳台:5.23%;中国境外:1.34%
000415.SZ,渤海租赁,其他国家:85.04%;中国大陆:14.96%
000416.SZ,民生控股,境内:100%
000417.SZ,合肥百货,合肥:63.83%;蚌埠:15.04%;六安:5.57%;宣城市:5.38%;铜陵:3.83%;黄山:2.71%;淮南:2.05%;宿州市:0.76%;亳州:0.61%;芜湖:0.21%
000419.SZ,通程控股,湖南:94.93%
000420.SZ,吉林化纤,内销:63.29%;外销:36.71%
000421.SZ,南京公用,江苏:97.19%;安徽:1.65%;浙江:1.06%;江西省:0.07%;山东:0.02%;广西省:0.01%
000422.SZ,ST宜化,国内:84.73%;国外:15.27%
000423.SZ,东阿阿胶,华北:24.1%;华中:20.87%;华南:16.23%;华东:15.38%;西南:9.39%;东北:5.74%;西北:4.14%;其他地区:3.63%;其他业务(地区):0.51%
000425.SZ,徐工机械,境内:87.42%;境外:12.58%
000426.SZ,兴业矿业,国内销售:100%
000428.SZ,华天酒店,湖南:89.23%;吉林:6.09%;湖北:4.68%
000429.SZ,粤高速A,佛开高速公路:41.75%;京珠高速公路广珠段:38.83%;广佛高速公路:15.41%;其他:4.01%
000430.SZ,张家界,张家界:99.63%;长沙:0.37%
000488.SZ,晨鸣纸业,中国大陆:73.38%;其他业务(地区):14.75%;其他境外国家和地区:11.87%
000498.SZ,山东路桥,华东:84.21%;西南:4.73%;中南:4.06%;其他业务(地区):3.66%;海外:1.88%;西北:1.21%;东北:0.25%
000501.SZ,鄂武商A,湖北:100%
000502.SZ,绿景控股,华南地区:100%
000503.SZ,国新健康,北京:58.99%;其他地区:37.92%;海南:3.09%
000504.SZ,ST生物,中国大陆:72.02%;国外:27.98%
000505.SZ,京粮控股,天津:44.11%;北京:36.92%;浙江:8.88%;河北:6.92%;辽宁:1.83%;山东:0.69%;其他业务(地区):0.65%
000506.SZ,中润资源,斐济地区(黄金):60.8%;淄博:36.96%;济南:2.24%
000507.SZ,珠海港,国内:91.28%;出口:8.72%
000509.SZ,*ST华塑,上海及北京:86.48%;西南:13.52%
000510.SZ,新金路,西南:94.91%;东南:3.68%;其他地区:1.42%
000513.SZ,丽珠集团,国内:86.13%;出口:13.15%;其他业务(地区):0.72%
000514.SZ,渝开发,重庆:100%
000516.SZ,国际医学,西安地区:87.56%;西安以外地区:12.44%
000517.SZ,荣安地产,宁波地区:77.73%;宁波以外地区:22.27%
000518.SZ,四环生物,境内:97.64%;其他业务(地区):1.46%;境外:0.91%
000519.SZ,中兵红箭,国内:93.82%;国外:6.18%
000520.SZ,长航凤凰,内河运输:43.66%;沿海运输:35.98%;其他业务(地区):14.4%;远洋运输:5.96%
000521.SZ,长虹美菱,境内:69.68%;国外:23.61%;其他业务(地区):6.71%
000523.SZ,广州浪奇,中国大陆:96.71%;国外:3.29%
000524.SZ,岭南控股,境外:53.37%;广东省内:21.95%;广东省外:17.55%;港澳台地区:7.12%
000525.SZ,红太阳,国内:56.95%;出口:43.05%
000526.SZ,紫光学大,东部地区:60.11%;西部地区:26%;中部地区:13.89%
000528.SZ,柳工,国内:82.29%;国外:17.71%
000529.SZ,广弘控股,广东省内:99.2%;广东省外:0.8%
000530.SZ,冰山冷热,东北:83.36%;华中:13.32%;其他业务(地区):2.49%;华东:0.83%
000531.SZ,穗恒运A,广东:100%
000532.SZ,华金资本,华南:65.62%;华东:18.26%;国外:5.14%;华中:4.49%;华北:2.52%;国内其他:2.21%;其他业务(地区):1.72%;西北:0.04%
000533.SZ,顺钠股份,中国大陆:95.93%;出口:4.07%
000534.SZ,万泽股份,南方地区:75.16%;北方地区:24.84%
000536.SZ,*ST华映,国内:82.25%;国外:15.31%;其他业务(地区):2.45%
000537.SZ,广宇发展,济南:32.3%;重庆:28.97%;宜宾:10.95%;北京:9.9%;福建省:8.88%;成都地区:3.44%;山东青岛:3.05%;天津:2.48%;浙江省:0.03%
000538.SZ,云南白药,国内:98.04%;国外:1.96%
000539.SZ,粤电力A,广东:99.79%;云南:0.21%
000540.SZ,中天金融,贵州:51.56%;其他业务(地区):48.32%;其他地区:0.12%
000541.SZ,佛山照明,国内:59.42%;国外:40.58%
000543.SZ,皖能电力,华东:100%
000544.SZ,中原环保,郑州:99.72%;其他:0.28%
000545.SZ,金浦钛业,境内:85.24%;境外:14.76%
000546.SZ,金圆股份,江西省:59.25%;青海:17.4%;广东:8.85%;西藏自治区:8.23%;江苏:3.02%;内蒙古自治区:2.49%;重庆:0.53%;其他业务(地区):0.17%;福建省:0.06%
000547.SZ,航天发展,华东:38.3%;华北:31.19%;华中:10.51%;西南:8.34%;西北:5.9%;东北:2.54%;华南:2.18%;其他:1.03%
000548.SZ,湖南投资,长沙:100%
000550.SZ,江铃汽车,中国:100%
000551.SZ,创元科技,华东:49.29%;出口:19.51%;中南:12.35%;华北:7.17%;西南:4.59%;东北:3.74%;西北:3.34%
000552.SZ,靖远煤电,甘肃:90.85%;甘肃省外:9.15%
000553.SZ,安道麦A,拉丁美洲:25.71%;欧洲:25.68%;北美:19.66%;亚太:15.79%;印度、中东及非洲:13.16%
000554.SZ,泰山石油,泰安:86.43%;青岛:12.65%;曲阜:0.92%
000555.SZ,神州信息,国内:99.31%;国外:0.69%
000557.SZ,西部创业,国内:92%;其他业务(地区):8%
000558.SZ,莱茵体育,浙江:85.88%;江苏:7.27%;其他:6.34%;上海:0.51%
000559.SZ,万向钱潮,国内销售:80.75%;国外:12.61%;其他业务(地区):6.64%
